VendorName,VendorNumber,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesDollars,TotalSalesPrice,TotalSalesQuantity,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
E & J GALLO WINERY,3252,20357,Apothic Dark,5.19,12.99,750.0,30261,157054.59,243756.84,79842.22,27926.0,3124.79,61966.91,86702.25,35.57,0.9228,1.552,5.1899999999999995,Large,12118.650000000001
LUXCO INC,8352,8670,Arrow Coffee Brandy,7.85,11.49,1750.0,19983,156866.55,255130.42,107797.55,20008.0,36761.95,10261.6,98263.87000000002,38.52,1.0013,1.626,7.85,Large,-196.25
JIM BEAM BRANDS COMPANY,12546,4296,Ronrico Silver Rum,9.29,12.99,1750.0,16857,156601.53,217813.26,118964.37,16774.0,30822.64,123880.97,61211.73000000001,28.1,0.9951,1.391,9.29,Large,771.0699999999999
JIM BEAM BRANDS COMPANY,12546,1379,Jim Beam Traveler,11.41,14.49,750.0,13678,156065.97999999998,208508.21,146441.94999999998,13479.0,10620.06,123880.97,52442.23000000001,25.15,0.9855,1.336,11.409999999999998,Large,2270.59
STE MICHELLE WINE ESTATES,8673,8264,Ch Ste Michelle Rsl,5.37,8.99,750.0,28983,155638.71,259038.34,87170.96,28366.0,3173.67,15919.7,103399.63,39.92,0.9787,1.664,5.37,Large,3313.29
CASTLE BRANDS CORP.,1485,5505,Pallini Limoncello Liqueur,14.5,18.99,750.0,10714,155353.0,198103.68,111927.06,10432.0,8217.35,8497.59,42750.67999999999,21.58,0.9737,1.275,14.5,Large,4089.0
TREASURY WINE ESTATES,9819,6688,Ch St Jean Chard California,5.81,9.99,750.0,26716,155219.96,251277.02,71275.81,26194.0,2933.4500000000003,14836.57,96057.06,38.23,0.9805,1.619,5.81,Large,3032.8199999999997
DIAGEO NORTH AMERICA INC,3960,2570,Johnnie Walker Gold Rsv,57.14,79.99,750.0,2715,155135.1,172043.81,105826.98999999999,2119.0,1669.96,257032.07,16908.709999999992,9.83,0.7805,1.109,57.14,Large,34055.44
CALEDONIA SPIRITS INC,1273,2580,Barr Hill Gin,29.36,36.99,750.0,5272,154785.92,174154.54,111934.22,4946.0,3896.7400000000002,1319.77,19368.619999999995,11.12,0.9382,1.125,29.360000000000003,Large,9571.36
DIAGEO NORTH AMERICA INC,3960,4662,Capt Morgan White PET,15.38,19.99,1750.0,10062,154753.56,220629.66999999998,127921.02999999998,11033.0,20275.41,257032.07,65876.10999999999,29.86,1.0965,1.426,15.379999999999999,Large,-14933.980000000001
SAZERAC NORTH AMERICA INC.,660,4181,Calypso Spiced Rum,9.37,11.99,1750.0,16514,154736.18,189110.7,105768.26,16430.0,30190.64,17932.33,34374.52000000002,18.18,0.9949,1.222,9.37,Large,787.0799999999999
PERNOD RICARD USA,17035,3422,Beefeater,15.99,19.99,750.0,9667,154575.33,191335.0,132768.16999999998,9500.0,7486.88,123780.22,36759.67000000001,19.21,0.9827,1.238,15.989999999999998,Large,2670.33
PROXIMO SPIRITS INC.,7245,8474,1800 Reposado Gold Tequila,24.62,41.99,1750.0,6259,154096.58,230884.46000000002,159372.07,6154.0,11311.36,38994.78,76787.88000000003,33.26,0.9832,1.498,24.619999999999997,Large,2585.1
"STOLI GROUP,(USA) LLC",8664,3656,Stolichnaya Vanil,19.99,24.99,1750.0,7706,154042.94,200189.06,130497.59999999999,7894.0,14508.34,18544.49,46146.119999999995,23.05,1.0244,1.3,19.990000000000002,Large,-3758.12
JIM BEAM BRANDS COMPANY,12546,8296,Knob Creek Smoked Maple,21.7,31.99,750.0,7084,153722.8,185815.88,137442.07,6212.0,4896.31,123880.97,32093.080000000016,17.27,0.8769,1.209,21.7,Large,18922.399999999998
JIM BEAM BRANDS COMPANY,12546,1382,Makers 46,28.56,39.99,750.0,5382,153709.92,212185.04,156002.94,5196.0,4095.61,123880.97,58475.119999999995,27.56,0.9654,1.38,28.560000000000002,Large,5312.16
ULTRA BEVERAGE COMPANY LLP,9165,966,Patron Citronge Orange Liqu,16.15,20.99,750.0,9393,151696.95,210796.12999999998,129169.48,9887.0,7789.5,68054.7,59099.179999999964,28.04,1.0526,1.39,16.150000000000002,Large,-7978.099999999999
MARTIGNETTI COMPANIES,4425,33582,Villa Cornaro Prosecco Del,6.46,9.95,750.0,23406,151202.76,258911.62,81723.83,23538.0,2633.98,144929.24,107708.85999999999,41.6,1.0056,1.712,6.46,Large,-852.72
SOUTHERN WINE & SPIRITS NE,2000,31915,F Coppola Diamond Chard,8.27,12.99,750.0,18270,151092.9,209370.09,76727.4,18011.0,2013.22,19016.59,58277.19,27.83,0.9858,1.386,8.27,Large,2141.93
STATE WINE & SPIRITS,653,20533,Bread & Butter Chard,8.55,12.99,750.0,17649,150898.94999999998,221166.75,82990.12,17025.0,1902.41,8014.9800000000005,70267.80000000002,31.77,0.9646,1.466,8.549999999999999,Large,5335.200000000001
MARTIGNETTI COMPANIES,4425,44547,Silver Oak Cab Svgn Alex Vly,45.15,74.99,750.0,3342,150891.3,229163.53,124354.01,3179.0,353.56,144929.24,78272.23000000001,34.16,0.9512,1.519,45.15,Large,7359.45
MARTIGNETTI COMPANIES,4425,16794,Freakshow Cab Svgn,10.94,18.99,750.0,13771,150654.74,254650.63,112155.35999999999,13606.0,1517.5800000000002,144929.24,103995.89000000001,40.84,0.988,1.69,10.94,Large,1805.1
PERNOD RICARD USA,17035,3364,Absolut Ruby Red,17.85,24.99,1750.0,8432,150511.19999999998,209811.47,136089.83,8353.0,15352.49,123780.22,59300.27000000002,28.26,0.9906,1.394,17.849999999999998,Large,1410.15
JIM BEAM BRANDS COMPANY,12546,8562,DeKuyper Peachtree Trav,11.44,16.99,1750.0,13156,150504.64,205463.74,122148.87999999999,13026.0,23937.67,123880.97,54959.09999999998,26.75,0.9901,1.365,11.440000000000001,Large,1487.2
E & J GALLO WINERY,3252,40337,Da Vinci Chianti Tuscany,6.57,9.99,750.0,22889,150380.73,216780.8,82389.07,21970.0,2454.16,61966.91,66400.06999999998,30.63,0.9598,1.442,6.57,Large,6037.83
E & J GALLO WINERY,3252,20863,W Hill Est Chard N Coast,8.84,12.99,750.0,16999,150271.16,176611.99,63165.36,14829.0,1658.0,61966.91,26340.829999999987,14.91,0.8723,1.175,8.84,Large,19182.8
TREASURY WINE ESTATES,9819,18893,19 Crimes Red,6.89,9.99,750.0,21791,150139.99000000002,195851.1,74879.72,20530.0,2293.58,14836.57,45711.109999999986,23.34,0.9421,1.304,6.890000000000001,Large,8688.289999999999
DIAGEO NORTH AMERICA INC,3960,3366,Tanqueray Rangpur Gin,24.45,35.99,1750.0,6132,149927.4,211241.91,136489.25,6009.0,11045.01,257032.07,61314.51000000001,29.03,0.9799,1.409,24.45,Large,3007.35
DIAGEO NORTH AMERICA INC,3960,3761,Ciroc Apple Vodka,34.28,47.99,1750.0,4369,149769.32,211730.95,70585.75,4305.0,7910.78,257032.07,61961.630000000005,29.26,0.9854,1.414,34.28,Large,2193.92
CAMPARI AMERICA,11567,8085,Wild Turkey,25.59,35.99,1750.0,5823,149010.57,150722.45,110263.73,4555.0,8373.74,20964.81,1711.8800000000047,1.14,0.7822,1.011,25.59,Large,32448.12
DIAGEO NORTH AMERICA INC,3960,3704,Ciroc Pineapple Vodka,18.37,24.99,750.0,8104,148870.48,212825.99,99854.86,8401.0,6618.39,257032.07,63955.50999999998,30.05,1.0366,1.43,18.37,Large,-5455.89
CASTLE BRANDS CORP.,1485,4224,Goslings Black Seal Rum 80,11.44,14.99,750.0,13009,148822.96,212285.18,122716.6,13082.0,10304.54,8497.59,63462.22,29.89,1.0056,1.426,11.44,Large,-835.12
DIAGEO NORTH AMERICA INC,3960,3835,Smirnoff Raspberry Vodka,8.2,10.99,750.0,18129,148657.80000000002,213796.57,121701.02,17843.0,14053.52,257032.07,65138.76999999999,30.47,0.9842,1.438,8.200000000000001,Large,2345.2
WINE GROUP INC,9815,14701,Cupcake Red Velvet,4.57,6.99,750.0,32481,148438.17,232214.66,74383.95,30834.0,3450.06,27100.41,83776.48999999999,36.08,0.9493,1.564,4.57,Large,7526.790000000001
MARTIGNETTI COMPANIES,4425,13661,Duckhorn Decoy Pnt Nr,11.61,21.99,750.0,12778,148352.58,228007.94,89305.98999999999,12362.0,1380.69,144929.24,79655.36000000002,34.94,0.9674,1.537,11.61,Large,4829.76
PERNOD RICARD USA,17035,8102,Absolut Mandrin,18.65,24.99,1750.0,7901,147353.65,198849.84,128946.68,7916.0,14549.76,123780.22,51496.19,25.9,1.0019,1.349,18.65,Large,-279.75
M S WALKER INC,9552,3637,Zhenka Vodka Plastic,3.89,5.29,750.0,37837,147185.93,198872.26,86814.19,37594.0,29594.8,55551.82,51686.330000000016,25.99,0.9936,1.351,3.8899999999999997,Large,945.27
DIAGEO NORTH AMERICA INC,3960,4798,Sambuca Romana Liqueur,1.54,1.99,50.0,95268,146712.72,187794.31,36488.64,94369.0,4937.66,257032.07,41081.59,21.88,0.9906,1.28,1.54,Large,1384.46
DIAGEO NORTH AMERICA INC,3960,3827,Popov Vodka,9.28,12.99,1750.0,15804,146661.12,204709.41,91852.29000000001,15759.0,28956.34,257032.07,58048.29000000001,28.36,0.9972,1.396,9.28,Large,417.59999999999997
JIM BEAM BRANDS COMPANY,12546,1468,Knob Creek Single Barrel Rsv,31.49,44.99,750.0,4646,146302.54,182518.12,132379.87,4288.0,3380.64,123880.97,36215.57999999999,19.84,0.9229,1.248,31.490000000000002,Large,11273.42
CAMPARI AMERICA,11567,3818,Cabo Wabo Blanco Tequila,21.73,29.99,750.0,6730,146242.9,212452.59,151740.66,6641.0,5233.26,20964.81,66209.69,31.16,0.9868,1.453,21.73,Large,1933.97
REMY COINTREAU USA INC,7239,5233,Cointreau Liqueur,14.5,18.99,375.0,10071,146029.5,198561.75,133100.21,9825.0,3853.21,16978.67,52532.25,26.46,0.9756,1.36,14.5,Large,3567.0
DIAGEO NORTH AMERICA INC,3960,5392,Goldschlager Cinnamon Schnps,13.63,17.99,750.0,10559,143919.17,202824.88999999998,128395.74999999999,10511.0,8280.880000000001,257032.07,58905.71999999997,29.04,0.9955,1.409,13.63,Large,654.24
CONSTELLATION BRANDS INC,1392,24455,Franciscan Cab Svgn Napa,11.71,20.99,750.0,12258,143541.18,235731.91,95856.0,11732.0,1309.99,79528.99,92190.73000000001,39.11,0.9571,1.642,11.709999999999999,Large,6159.46
JIM BEAM BRANDS COMPANY,12546,3158,Pinnacle Tropical Punch,12.77,16.99,1750.0,11226,143356.02000000002,185931.41999999998,126555.73,11058.0,20322.8,123880.97,42575.399999999965,22.9,0.985,1.297,12.770000000000001,Large,2145.36
DIAGEO NORTH AMERICA INC,3960,5847,Godiva Chocolate Liqueur,17.31,23.99,750.0,8251,142824.81,188616.19,122957.07999999999,8181.0,6446.02,257032.07,45791.380000000005,24.28,0.9915,1.321,17.31,Large,1211.6999999999998
M S WALKER INC,9552,3272,Sobieski Vodka,13.23,17.99,1750.0,10743,142129.88999999998,198008.78,124550.84,10722.0,19704.47,55551.82,55878.890000000014,28.22,0.998,1.393,13.229999999999999,Large,277.83
CAMPARI AMERICA,11567,3924,Espolon Blanco Tequila,17.38,26.99,750.0,8162,141855.56,204392.94999999998,132292.68,8105.0,6385.85,20964.81,62537.389999999985,30.6,0.993,1.441,17.38,Large,990.66
ULTRA BEVERAGE COMPANY LLP,9165,37822,Frescobaldi Chianti RSV Nip,11.72,26.99,750.0,12078,141554.16,179836.8,76523.53,10570.0,1179.5900000000001,68054.7,38282.639999999985,21.29,0.8751,1.27,11.72,Large,17673.760000000002
E & J GALLO WINERY,3252,33874,Bella Sera Pinot Grigio Del,6.62,12.49,1500.0,21360,141403.2,231821.49,94092.64,21351.0,4788.29,61966.91,90418.28999999998,39.0,0.9996,1.639,6.62,Large,59.58
SAZERAC CO INC,8004,5109,Dr McGillicuddy's Menth Trav,9.84,13.99,750.0,14335,141056.4,200642.77,120877.83,14323.0,11281.68,50293.62,59586.369999999995,29.7,0.9992,1.422,9.84,Large,118.08
WILLIAM GRANT & SONS INC,3664,2967,Glenfiddich Solera 15-Yr RS,40.73,59.99,750.0,3463,141047.99,174601.2,133957.22,2980.0,2349.42,30234.420000000002,33553.21000000002,19.22,0.8605,1.238,40.73,Large,19672.59
BACARDI USA INC,480,824,Dewars White Label Scotch,20.76,26.99,1000.0,6787,140898.12,178592.83,106394.57999999999,6617.0,6947.85,89286.27,37694.70999999999,21.11,0.975,1.268,20.759999999999998,Large,3529.2000000000003
M S WALKER INC,9552,2890,Four Roses Bourbon,21.25,26.99,750.0,6626,140802.5,180430.09,129047.62,6491.0,5116.03,55551.82,39627.59,21.96,0.9796,1.281,21.25,Large,2868.75
CONSTELLATION BRANDS INC,1392,16262,The Dreaming Tree Crush Red,7.18,11.99,750.0,19580,140584.4,238209.55,90429.41,19425.0,2170.69,79528.99,97625.15,40.98,0.9921,1.694,7.18,Large,1112.8999999999999
KOBRAND CORPORATION,4692,12181,Cakebread Chard,24.48,35.99,750.0,5742,140564.16,194360.12,78452.06,5188.0,578.87,9139.38,53795.95999999999,27.68,0.9035,1.383,24.48,Large,13561.92
SOUTHERN WINE & SPIRITS NE,2000,11970,Zaccagnini Montepulciano Rsv,7.71,18.99,750.0,18204,140352.84,264292.94,98130.88,17962.0,2007.73,19016.59,123940.1,46.89,0.9867,1.883,7.71,Large,1865.82
MARTIGNETTI COMPANIES,4425,32263,Lindemans Bin 65 Chard,6.8,9.99,1500.0,20546,139712.8,191345.57,68839.45,18623.0,4179.17,144929.24,51632.77000000002,26.98,0.9064,1.37,6.8,Large,13076.4
MARTIGNETTI COMPANIES,4425,41321,Bogle Phantom Red Cal,10.94,16.95,750.0,12769,139692.86,211854.54,82585.18999999999,12186.0,1361.0900000000001,144929.24,72161.68000000002,34.06,0.9543,1.517,10.94,Large,6378.0199999999995
E & J GALLO WINERY,3252,7715,Andre Extra Dry,3.01,5.99,750.0,46400,139664.0,244003.85,49625.87,45565.0,5112.900000000001,61966.91,104339.85,42.76,0.982,1.747,3.01,Large,2513.35
MARTIGNETTI COMPANIES,4425,43434,Phillips Earthquake Cab Svgn,15.58,25.99,750.0,8948,139409.84,220169.44999999998,106633.95999999999,9063.0,1009.48,144929.24,80759.60999999999,36.68,1.0129,1.579,15.58,Large,-1791.7
DIAGEO NORTH AMERICA INC,3960,2894,Scoresby Rare,12.94,17.99,1750.0,10762,139260.28,192295.11,107436.27999999998,10689.0,19642.79,257032.07,53034.82999999999,27.58,0.9932,1.381,12.94,Large,944.62
M S WALKER INC,9552,8413,St Elder Elderflower Liqueur,14.28,17.99,750.0,9731,138958.68000000002,175762.3,110710.45999999999,9770.0,7696.75,55551.82,36803.619999999966,20.94,1.004,1.265,14.280000000000003,Large,-556.92
JIM BEAM BRANDS COMPANY,12546,1239,Booker's Bourbon,39.99,49.99,750.0,3473,138885.27,181998.5,140387.63,3550.0,2799.29,123880.97,43113.23000000001,23.69,1.0222,1.31,39.989999999999995,Large,-3079.23
BROWN-FORMAN CORP,1128,8342,Korbel X Dry,8.21,11.99,750.0,16916,138880.36000000002,209317.89,75750.99,16311.0,1823.23,68601.68,70437.53,33.65,0.9642,1.507,8.21,Large,4967.05
M S WALKER INC,9552,3452,Vanya Light Vodka,5.55,6.99,1750.0,25006,138783.3,181795.17,69129.53,24803.0,45568.97,55551.82,43011.870000000024,23.66,0.9919,1.31,5.55,Large,1126.6499999999999
DIAGEO NORTH AMERICA INC,3960,5616,Emmets Irish Cream,15.38,19.99,1750.0,8996,138358.48,178630.63999999998,120539.7,8936.0,16423.82,257032.07,40272.159999999974,22.54,0.9933,1.291,15.38,Large,922.8000000000001
SAZERAC CO INC,8004,5849,GranGala Triple Orange,12.4,16.99,750.0,11142,138160.80000000002,193756.31999999998,101492.40999999999,11168.0,8799.68,50293.62,55595.51999999996,28.69,1.0023,1.402,12.400000000000002,Large,-322.40000000000003
M S WALKER INC,9552,3894,Zhenka Vodka 100 Proof,9.08,13.49,1750.0,15214,138143.12,202316.99,114814.32,15251.0,28024.53,55551.82,64173.869999999995,31.72,1.0024,1.465,9.08,Large,-335.96
BACARDI USA INC,480,3782,Grey Goose Le Citron Vodka,18.89,23.99,750.0,7312,138123.68,186388.78,120956.06,7572.0,5966.31,89286.27,48265.100000000006,25.89,1.0356,1.349,18.89,Large,-4911.400000000001
MOET HENNESSY USA INC,8112,5353,Grand Marnier,12.77,18.99,375.0,10791,137801.07,206346.24,134528.06999999998,11026.0,4324.55,48347.26,68545.16999999998,33.22,1.0218,1.497,12.770000000000001,Large,-3000.95
MAJESTIC FINE WINES,10000,6351,Kendall Jackson Vntr RSV Cab,11.18,17.99,750.0,12322,137759.96,208058.84999999998,89623.81999999999,11715.0,1306.75,17587.59,70298.88999999998,33.79,0.9507,1.51,11.18,Large,6786.26
JIM BEAM BRANDS COMPANY,12546,807,Jim Beam,13.23,19.99,1000.0,10389,137446.47,192879.61,99887.48999999999,10239.0,10750.95,123880.97,55433.139999999985,28.74,0.9856,1.403,13.23,Large,1984.5
E & J GALLO WINERY,3252,12216,Da Vinci Pnt Grigio,6.66,9.99,750.0,20603,137215.98,195680.4,78162.85,19810.0,2211.7000000000003,61966.91,58464.419999999984,29.88,0.9615,1.426,6.66,Large,5281.38
LUXCO INC,8352,1961,Everclear 151,23.91,34.99,1750.0,5730,137004.30000000002,187406.2,114112.04000000001,5580.0,10254.86,10261.6,50401.899999999994,26.89,0.9738,1.368,23.910000000000004,Large,3586.5
PERNOD RICARD USA,17035,3627,Absolut 80 Proof,9.37,13.99,375.0,14610,136895.69999999998,187398.2,125310.5,14380.0,5640.76,123780.22,50502.50000000003,26.95,0.9843,1.369,9.37,Large,2155.1
PALM BAY INTERNATIONAL INC,6785,15527,Roscato Rosso,6.57,9.99,750.0,20795,136623.15,223386.4,85866.26,20760.0,2319.2200000000003,13605.41,86763.25,38.84,0.9983,1.635,6.569999999999999,Large,229.95000000000002
E & J GALLO WINERY,3252,10727,Starborough Svgn Bl Marlboro,5.41,9.99,750.0,25165,136142.65,237069.63,78293.8,25225.0,2822.44,61966.91,100926.98000000001,42.57,1.0024,1.741,5.41,Large,-324.6
WINE GROUP INC,9815,11825,Cupcake Cab Svgn,4.66,6.99,750.0,29200,136072.0,208652.63,70095.78,27737.0,3102.06,27100.41,72580.63,34.79,0.9499,1.533,4.66,Large,6817.58
DIAGEO NORTH AMERICA INC,3960,3086,Ciroc Coconut Vodka,35.03,47.99,1750.0,3882,135986.46,191347.32,59255.170000000006,3868.0,7107.71,257032.07,55360.860000000015,28.93,0.9964,1.407,35.03,Large,490.42
WINE GROUP INC,9815,18988,Franzia Chillable Red Tap,8.9,14.99,5000.0,15278,135974.2,207832.65,120322.36,15235.0,11426.25,27100.41,71858.44999999998,34.58,0.9972,1.528,8.9,Large,382.7
DIAGEO NORTH AMERICA INC,3960,2854,Talisker 10-Yr Single Malt,38.45,49.99,750.0,3534,135882.3,166564.47,122583.3,2953.0,2327.9500000000003,257032.07,30682.170000000013,18.42,0.8356,1.226,38.449999999999996,Large,22339.45
DIAGEO NORTH AMERICA INC,3960,3497,Johnnie Walker Platinum,73.07,94.99,750.0,1857,135690.99,167302.71,133826.19,1729.0,1363.63,257032.07,31611.72,18.89,0.9311,1.233,73.07,Large,9352.96
CONSTELLATION BRANDS INC,1392,6264,Cooks Extra Dry,4.79,6.99,750.0,28307,135590.53,204172.08,53193.6,27492.0,3080.31,79528.99,68581.54999999999,33.59,0.9712,1.506,4.79,Large,3903.85
PERNOD RICARD USA,17035,1896,The Glenlivet 18 Yr Single,68.83,94.99,750.0,1962,135044.46,203200.63999999998,168558.91999999998,1936.0,1526.95,123780.22,68156.18,33.54,0.9867,1.505,68.83,Large,1789.58
CONSTELLATION BRANDS INC,1392,21019,Black Box Pnt Nr,10.66,16.99,3000.0,12647,134817.02,229216.87999999998,139972.37,12512.0,5630.400000000001,79528.99,94399.85999999999,41.18,0.9893,1.7,10.659999999999998,Large,1439.1
JIM BEAM BRANDS COMPANY,12546,1388,Red Stag by Jim Beam,19.22,28.99,1750.0,6995,134443.9,173392.38999999998,121781.12999999999,6961.0,12795.16,123880.97,38948.48999999999,22.46,0.9951,1.29,19.22,Large,653.48
PROXIMO SPIRITS INC.,7245,8469,1800 Reposado Gold Tequila,16.29,21.99,750.0,8189,133398.81,195273.25,128043.99999999999,7975.0,6284.59,38994.78,61874.44,31.69,0.9739,1.464,16.29,Large,3486.06
BANFI PRODUCTS CORP,516,8678,Banfi Chianti Clsc RSV,9.32,15.99,750.0,14292,133201.44,219699.09,82353.2,14191.0,1585.45,8510.41,86497.65,39.37,0.9929,1.649,9.32,Large,941.32
PERNOD RICARD USA,17035,6231,Mumm Brut Prestige,10.27,14.99,750.0,12931,132801.37,210520.44999999998,79893.76,12487.0,1394.9,123780.22,77719.07999999999,36.92,0.9657,1.585,10.27,Large,4559.88
PROXIMO SPIRITS INC.,7245,8424,1800 Coconut Tequila,16.29,21.99,750.0,8136,132535.44,199138.59,125786.48999999999,8041.0,6334.45,38994.78,66603.15,33.45,0.9883,1.503,16.29,Large,1547.55
BACARDI USA INC,480,4246,Bacardi Superior Rum,4.22,5.49,375.0,31200,131664.0,211183.84,95745.78,30666.0,12050.38,89286.27,79519.84,37.65,0.9829,1.604,4.22,Large,2253.48
MHW LTD,6213,3699,Chopin Vodka,31.0,39.99,1750.0,4237,131347.0,171362.32,113546.74,4268.0,7844.65,9621.58,40015.32000000001,23.35,1.0073,1.305,31.0,Large,-961.0
TREASURY WINE ESTATES,9819,8421,Beringer Classic Wh Znfdl,3.37,4.99,750.0,38917,131150.29,210632.5,58051.14,38974.0,4369.400000000001,14836.57,79482.20999999999,37.74,1.0015,1.606,3.37,Large,-192.09
BROWN-FORMAN CORP,1128,1465,Woodford Rsv Bourbon,11.02,14.99,375.0,11872,130829.44,194469.69999999998,121614.72,11830.0,4641.64,68601.68,63640.25999999998,32.73,0.9965,1.486,11.02,Large,462.84
BROWN-FORMAN CORP,1128,26949,Sonoma-Cutrer Chard RRV,15.53,22.99,750.0,8422,130793.66,192403.31,71154.04999999999,8369.0,935.36,68601.68,61609.649999999994,32.02,0.9937,1.471,15.530000000000001,Large,823.0899999999999
E & J GALLO WINERY,3252,28889,Peter Vella Chard Cal B/B,10.61,15.99,5000.0,12314,130651.54,189144.58,119882.24,12192.0,9144.0,61966.91,58493.03999999999,30.93,0.9901,1.448,10.61,Large,1294.4199999999998
E & J GALLO WINERY,3252,8450,E & J Brandy VS,13.86,18.99,1750.0,9424,130616.64,187580.8,112828.32999999999,9420.0,17312.55,61966.91,56964.15999999999,30.37,0.9996,1.436,13.86,Large,55.44
KOBRAND CORPORATION,4692,8627,Jadot Beaujolais Villages,5.47,9.99,750.0,23791,130136.77,222471.82,72118.98,23741.0,2656.39,9139.38,92335.05,41.5,0.9979,1.71,5.47,Large,273.5
SAZERAC NORTH AMERICA INC.,660,3216,Fleischmanns X Dry Gin,7.68,11.99,1750.0,16925,129984.0,177247.95,78266.47,16805.0,30878.239999999998,17932.33,47263.95000000001,26.67,0.9929,1.364,7.68,Large,921.5999999999999
PERFECTA WINES,10754,43225,Ch Beauchene Chtnf Pape RSV,18.29,32.99,750.0,7101,129877.29,184491.55,96501.79,6445.0,717.41,28720.52,54614.259999999995,29.6,0.9076,1.421,18.29,Large,11998.24
M S WALKER INC,9552,3896,Zhenka Vodka,2.63,3.29,375.0,49339,129761.56999999999,161690.34,61875.03,49146.0,19326.2,55551.82,31928.770000000004,19.75,0.9961,1.246,2.63,Large,507.59
DIAGEO NORTH AMERICA INC,3960,5219,Sambuca Romana Black,13.23,17.99,750.0,9801,129667.23,192403.91999999998,112822.59,9808.0,7726.7,257032.07,62736.68999999999,32.61,1.0007,1.484,13.23,Large,-92.61
M S WALKER INC,9552,12220,Angeline Pnt Nr,5.48,12.99,750.0,23446,128484.08,223629.58000000002,77503.37,23606.0,2640.4500000000003,55551.82,95145.50000000001,42.55,1.0068,1.741,5.48,Large,-876.8000000000001
E & J GALLO WINERY,3252,10421,Barefoot Moscato Cal,5.9,8.79,1500.0,21763,128401.7,219454.37,100633.87,20739.0,4644.17,61966.91,91052.67,41.49,0.9529,1.709,5.8999999999999995,Large,6041.6
DIAGEO NORTH AMERICA INC,3960,1424,Bulleit Bourbon,9.69,14.99,375.0,13226,128159.94,178095.41,103200.08,12359.0,4851.16,257032.07,49935.47,28.04,0.9344,1.39,9.69,Large,8401.23
PERFECTA WINES,10754,45822,Masciarelli Montepulciano,5.37,9.99,750.0,23851,128079.87,214213.21,79858.48,22599.0,2526.14,28720.52,86133.34,40.21,0.9475,1.672,5.37,Large,6723.24
MAJESTIC FINE WINES,10000,45848,Kendall Jackson Summation Re,6.63,11.99,750.0,19289,127886.07,185907.03,68697.57,17401.0,1945.0900000000001,17587.59,58020.95999999999,31.21,0.9021,1.454,6.630000000000001,Large,12517.44
DISARONNO INTERNATIONAL LLC,2555,538,Amaretto DiSaronno,7.96,12.99,375.0,16065,127877.4,208951.04,116137.98,15596.0,6122.29,5861.03,81073.64000000001,38.8,0.9708,1.634,7.96,Large,3733.24
PROXIMO SPIRITS INC.,7245,4187,Kraken Black Spiced Rum,12.85,17.99,750.0,9933,127639.04999999999,190625.62999999998,128262.65,9737.0,7673.110000000001,38994.78,62986.57999999999,33.04,0.9803,1.493,12.85,Large,2518.6
JIM BEAM BRANDS COMPANY,12546,3310,Pinnacle Vodka,4.34,6.99,375.0,29360,127422.4,173753.23,86829.47,28977.0,11386.64,123880.97,46330.830000000016,26.66,0.987,1.364,4.34,Large,1662.22
E & J GALLO WINERY,3252,3511,New Amsterdam Vodka,7.24,9.99,750.0,17593,127373.31999999999,172716.79,101307.77,16621.0,13092.25,61966.91,45343.470000000016,26.25,0.9448,1.356,7.239999999999999,Large,7037.280000000001
SAZERAC CO INC,8004,3636,Dr McGillicuddy's Mentholmnt,5.03,7.49,375.0,25233,126921.98999999999,172791.78,88515.24,25022.0,9828.960000000001,50293.62,45869.79000000001,26.55,0.9916,1.361,5.029999999999999,Large,1061.3300000000002
WILLIAM GRANT & SONS INC,3664,2125,Glenfiddich 14 Yr Barrel Rsv,36.76,49.99,750.0,3449,126785.24,145728.39,109417.58,2861.0,2255.59,30234.420000000002,18943.15000000001,13.0,0.8295,1.149,36.76,Large,21614.879999999997
WINE GROUP INC,9815,23095,Glen Ellen Cab Svgn RSV,4.76,6.99,1500.0,26605,126639.8,179852.7,72996.57,25730.0,5768.12,27100.41,53212.90000000001,29.59,0.9671,1.42,4.76,Large,4165.0
BACARDI USA INC,480,4066,Bacardi Oakheart Spiced Rum,12.85,21.99,1750.0,9852,126598.2,219417.81,142474.66999999998,10719.0,19700.03,89286.27,92819.61,42.3,1.088,1.733,12.85,Large,-11140.949999999999
JIM BEAM BRANDS COMPANY,12546,1348,Knob Creek Bourbon,11.84,17.99,375.0,10660,126214.40000000001,180410.81,129716.04999999999,10319.0,4045.05,123880.97,54196.40999999999,30.04,0.968,1.429,11.840000000000002,Large,4037.44
BROWN-FORMAN CORP,1128,1060,Jack Daniels Bruins Glass Pk,21.7,31.99,1000.0,5810,126077.0,138180.5,62122.899999999994,4750.0,4987.5,68601.68,12103.5,8.76,0.8176,1.096,21.7,Large,23002.0
MARTIGNETTI COMPANIES,4425,23739,Liberty School Cab Svgn,7.25,12.99,750.0,17319,125562.75,221735.87,80911.5,17253.0,1928.63,144929.24,96173.12,43.37,0.9962,1.766,7.25,Large,478.5
